age,female,from,healthy,mild,severe,death
76,1,mild,0.150957053,0.440923267,0.286142965,0.121976715
77,1,mild,0.140379284,0.442222424,0.290620275,0.126778016
78,1,mild,0.130196734,0.442923634,0.294751388,0.132128244
79,1,mild,0.120451941,0.442968887,0.298490178,0.138088994
80,1,mild,0.11117649,0.442302518,0.301790255,0.144730736
81,1,mild,0.102391601,0.440870392,0.304604331,0.152133676
82,1,mild,0.094108929,0.438618996,0.306883456,0.160388619
83,1,mild,0.086331538,0.43549451,0.308576169,0.169597783
84,1,mild,0.079054976,0.431441936,0.309627605,0.179875482
85,1,mild,0.07226841,0.426404385,0.309978631,0.191348573
86,1,mild,0.065967819,0.420324592,0.309566869,0.20414072
87,1,mild,0.060185813,0.413157784,0.308336849,0.218319554
88,1,mild,0.05494533,0.404877971,0.306243987,0.233932712
89,1,mild,0.050250623,0.395477332,0.303254282,0.251017763
90,1,mild,0.046092209,0.384966089,0.29934473,0.269596972
91,1,mild,0.042451402,0.373372761,0.294504081,0.289671756
92,1,mild,0.039304302,0.360744687,0.288733918,0.311217092
93,1,mild,0.036625191,0.347148624,0.282049925,0.33417626
94,1,mild,0.034389402,0.332671115,0.274483157,0.358456326
95,1,mild,0.032575762,0.317418339,0.266081053,0.383924846
96,1,mild,0.031168782,0.301515099,0.256907908,0.410408211
97,1,mild,0.03016079,0.285102732,0.24704455,0.437691927
98,1,mild,0.02955426,0.268335807,0.236587023,0.46552291
99,1,mild,0.02936466,0.251377623,0.225644148,0.49361357
100,1,mild,0.029624225,0.234394702,0.214334004,0.521647069
101,1,mild,0.030387257,0.217550603,0.202779447,0.549282693
102,1,mild,0.031737774,0.200999463,0.191102916,0.576159848
103,1,mild,0.033800785,0.184879738,0.179420803,0.601898673
104,1,mild,0.036759105,0.169308509,0.167837693,0.626094693
105,1,mild,0.040878624,0.154376617,0.156440616,0.648304143
106,1,mild,0.046546511,0.14014468,0.145293379,0.66801543
107,1,mild,0.054328921,0.126639871,0.134430768,0.68460044
108,1,mild,0.065057489,0.113853141,0.12385226,0.697237111
109,1,mild,0.07995584,0.101736668,0.113514853,0.704792639
110,1,mild,0.100814737,0.090201758,0.103325111,0.705658394
111,1,mild,0.130205516,0.079119017,0.093132397,0.697543069
112,1,mild,0.171658832,0.068326288,0.082730176,0.677284704
113,1,mild,0.229580713,0.057656691,0.071882493,0.640880103
114,1,mild,0.30840283,0.047006788,0.060406857,0.584183525
51,0,severe,0.046249044,0.215054995,0.653469773,0.085226187
52,0,severe,0.042262064,0.20798993,0.664152377,0.085595629
53,0,severe,0.038812701,0.201210908,0.673749617,0.086226774
54,0,severe,0.035807909,0.194741933,0.682353379,0.087096779
55,0,severe,0.033171204,0.188597968,0.69004935,0.088181477
56,0,severe,0.030839469,0.182787241,0.696918255,0.089455035
57,0,severe,0.028760401,0.177313047,0.703036981,0.090889571
58,0,severe,0.0268905,0.172175168,0.708479571,0.092454761
59,0,severe,0.025193464,0.167370962,0.713318087,0.094117486
60,0,severe,0.023638934,0.162896218,0.717623311,0.095841536
61,0,severe,0.022201504,0.158745802,0.721465292,0.097587402
62,0,severe,0.020859939,0.154914148,0.724913714,0.099312199
63,0,severe,0.019596569,0.151395619,0.728038089,0.100969723
64,0,severe,0.018396808,0.148184761,0.73090774,0.102510691
